Year,Area,Value
2008,Italia,9.6
2009,Italia,8.6
2010,Italia,8.7
2011,Italia,8.5
2012,Italia,8.1
2013,Italia,7.5
2014,Italia,7.2
2015,Italia,7.4
2016,Italia,7.4
2017,Italia,7.4
2018,Italia,7.3
