Year,Area,Value
2008,Italia,21.945729
2009,Italia,15.05858
2010,Italia,14.650826
2011,Italia,16.078667000000003
2012,Italia,14.117041
2013,Italia,12.585968
2014,Italia,12.028955999999999
2015,Italia,13.508460999999999
2016,Italia,13.549884
2017,Italia,17.800237
2018,Italia,14.666034
