Year,Group,Value
2000,Italia,1.2
2001,Italia,1.03
2002,Italia,1.03
2003,Italia,1.33
2004,Italia,0.65
2005,Italia,0.18
2006,Italia,0.93
2007,Italia,1.22
2008,Italia,1.04
2009,Italia,1.07
2010,Italia,0.35
2011,Italia,1.31
2012,Italia,1.26
2013,Italia,0.93
2014,Italia,1.54
2015,Italia,1.6
2016,Italia,1.34
2017,Italia,1.29
2018,Italia,1.71
