Year,Group,Value
2006,Italia,9.38
2007,Italia,9.28
2008,Italia,9.14
2009,Italia,8.81
2010,Italia,9.21
2011,Italia,9.25
2012,Italia,8.72
2013,Italia,8.13
2014,Italia,8.17
2015,Italia,8.48
2016,Italia,8.89
2006,Lombardia,4.09
2007,Lombardia,4.11
2008,Lombardia,4.07
2009,Lombardia,4.08
2010,Lombardia,4.36
2011,Lombardia,4.61
2012,Lombardia,4.45
2013,Lombardia,4.26
2014,Lombardia,4.49
2015,Lombardia,4.74
2016,Lombardia,4.81
