Year,Area,Value
2008,Italia,547.846689
2009,Italia,496.177671
2010,Italia,505.77304699999996
2011,Italia,492.47530700000004
2012,Italia,472.72235599999993
2013,Italia,442.708383
2014,Italia,426.21175
2015,Italia,434.043793
2016,Italia,432.11901100000006
2017,Italia,427.70784699999996
2018,Italia,423.478015
