Year,Area,Value
2010,Italia,92.1
2011,Italia,93.2
2012,Italia,93.3
2013,Italia,92.2
2014,Italia,93.2
2015,Italia,92.2
2016,Italia,93.4
2017,Italia,92.5
2018,Italia,93.0
2010,Lombardia,95.0
2011,Lombardia,94.8
2012,Lombardia,95.1
2013,Lombardia,94.4
2014,Lombardia,95.8
2015,Lombardia,94.1
2016,Lombardia,95.6
2017,Lombardia,94.4
2018,Lombardia,96.3
