Year,Group,Value
2000,Italia,25
2001,Italia,11
2002,Italia,35
2003,Italia,22
2004,Italia,14
2005,Italia,17
2006,Italia,16
2007,Italia,16
2008,Italia,15
2009,Italia,53
2010,Italia,15
2011,Italia,16
2012,Italia,56
2013,Italia,26
2014,Italia,15
2015,Italia,14
2016,Italia,67
2017,Italia,20
