Year,Group,Value
2007,Italia,6469
2012,Italia,6410
2013,Italia,6313
2014,Italia,6215
2015,Italia,6462
2016,Italia,6642
2017,Italia,6942
2018,Italia,7090
2007,Lombardia,3050
2012,Lombardia,3440
2013,Lombardia,3467
2014,Lombardia,3439
2015,Lombardia,3785
2016,Lombardia,3716
2017,Lombardia,3931
2018,Lombardia,3897
